participant,session_time,mem_nom,cond_1st,tree_behaviour,resource_distribution,trial,trial_number,bg_name,bg_type,loop,sample,t_absolute,secs_elapsed,sample_interval,flag,fruits,row,col,x,y
P039,20191024143245,nom,patchy_1st,fade,patchy,tr06,6,leftpatchy_03,leftpatchy,25,25,786.1509274062536,2.650586366136963,0.016943799638511337,0,3,,,165.5,-356.70001220703125
P039,20191024143245,nom,patchy_1st,fade,patchy,tr06,6,leftpatchy_03,leftpatchy,26,26,786.1679694418671,2.6676284017504486,0.017042035613485496,0,3,,,162.0,-358.4000244140625
P039,20191024143245,nom,patchy_1st,fade,patchy,tr06,6,leftpatchy_03,leftpatchy,27,27,786.1839540478501,2.68361300773347,0.015984605983021538,0,3,,,157.0,-360.20001220703125
P039,20191024143245,nom,patchy_1st,fade,patchy,tr06,6,leftpatchy_03,leftpatchy,28,28,786.2009359689117,2.7005949287951125,0.016981921061642424,0,3,,,159.0999755859375,-363.9000244140625
P039,20191024143245,nom,patchy_1st,fade,patchy,tr06,6,leftpatchy_03,leftpatchy,29,29,786.217945161453,2.7176041213364215,0.01700919254130895,0,3,,,161.800048828125,-362.4000244140625
P039,20191024143245,nom,patchy_1st,fade,patchy,tr06,6,leftpatchy_03,leftpatchy,30,30,786.2339429633131,2.7336019231964883,0.01599780186006683,0,3,,,155.9000244140625,-364.70001220703125
P039,20191024143245,nom,patchy_1st,fade,patchy,tr06,6,leftpatchy_03,leftpatchy,31,31,786.2510011272212,2.7506600871046203,0.017058163908131974,0,3,,,157.5,-363.79998779296875
P039,20191024143245,nom,patchy_1st,fade,patchy,tr06,6,leftpatchy_03,leftpatchy,32,32,786.2679458065849,2.767604766468253,0.01694467936363253,1,3,9.0,11.0,183.800048828125,-386.0
P039,20191024143245,nom,patchy_1st,fade,patchy,tr06,6,leftpatchy_03,leftpatchy,33,33,786.5010037663966,3.000662726279984,0.23305795981173105,1,3,9.0,13.0,434.5,-429.29998779296875
P039,20191024143245,nom,patchy_1st,fade,patchy,tr06,6,leftpatchy_03,leftpatchy,34,34,786.7339752199019,3.2336341797853265,0.23297145350534265,3,3,9.0,13.0,497.5,-406.70001220703125
P039,20191024143245,nom,patchy_1st,fade,patchy,tr06,6,leftpatchy_03,leftpatchy,35,35,786.850979251389,3.3506382112724395,0.11700403148711302,3,3,9.0,16.0,733.5999755859375,-380.5
P039,20191024143245,nom,patchy_1st,fade,patchy,tr06,6,leftpatchy_03,leftpatchy,36,36,786.9679774180419,3.4676363779252597,0.11699816665282015,3,3,9.0,16.0,734.4000244140625,-385.70001220703125
P039,20191024143245,nom,patchy_1st,fade,patchy,tr06,6,leftpatchy_03,leftpatchy,37,37,787.0849714793106,3.5846304391940293,0.11699406126876966,0,3,,,-76.5999755859375,-231.4000244140625
